oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun
casa en venta en el cid,5.0,6.0,995.0,23.26094646,-106.4547592,2024-09-02 13:00:56.917298,lamudi,24500000.0,24623.115577889446,25012,25,012,Mazatlán
casa en fraccionamiento en venta en villa marina,4.0,3.0,270.0,23.29016368,-106.46693848,2024-09-02 13:00:56.917298,lamudi,7950000.0,29444.444444444445,25012,25,012,Mazatlán
casa en venta en balcones de loma linda,4.0,5.0,510.0,23.2028407,-106.4288318,2024-09-02 13:00:56.917298,lamudi,27980000.0,54862.74509803922,25012,25,012,Mazatlán
departamento en venta en el cid,3.0,3.0,163.0,23.25995117,-106.44616744,2024-09-02 13:00:56.917298,lamudi,6500000.0,39877.30061349693,25012,25,012,Mazatlán
casa en venta en real del valle,2.0,1.0,60.0,23.2876619,-106.3990281,2024-09-02 13:00:56.917298,lamudi,1350000.0,22500.0,25012,25,012,Mazatlán
casa en venta en lomas de mazatlan,3.0,4.0,402.0,23.245777,-106.4490648,2024-09-02 13:00:56.917298,lamudi,7450000.0,18532.33830845771,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,2.0,2.0,101.0,23.2694461,-106.452461,2024-09-02 13:00:56.917298,lamudi,4450000.0,44059.40594059406,25012,25,012,Mazatlán
departamento en venta en marina mazatlan,3.0,2.0,118.0,23.2713048,-106.4530686,2024-09-02 13:00:56.917298,lamudi,5404853.999999999,45803.84745762711,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,4.0,240.0,23.2989814,-106.4783346,2024-09-02 13:00:56.917298,lamudi,6690000.0,27875.0,25012,25,012,Mazatlán
casa en venta en club real,4.0,4.0,550.0,23.2693983,-106.4472128,2024-09-02 13:00:56.917298,lamudi,14000000.0,25454.545454545456,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,4.0,4.0,162.0,23.2973214,-106.4777561,2024-09-02 13:00:56.917298,lamudi,4700000.0,29012.345679012345,25012,25,012,Mazatlán
casa en venta en marina mazatlan,5.0,6.0,710.0,23.27869805423322,-106.45807397036133,2024-09-02 13:00:56.917298,lamudi,18500000.0,26056.33802816901,25012,25,012,Mazatlán
casa en venta en real del valle,3.0,2.0,131.0,23.2760298,-106.4253867,2024-09-02 13:00:56.917298,lamudi,3990000.0,30458.01526717557,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,3.0,4.0,228.0,23.3054792,-106.4780693,2024-09-02 13:00:56.917298,lamudi,5800000.0,25438.59649122807,25012,25,012,Mazatlán
departamento en venta en las gaviotas,2.0,2.0,80.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,3300000.0,41250.0,25012,25,012,Mazatlán
casa en venta en el cid,4.0,4.0,448.0,23.2552777,-106.4508938,2024-09-02 13:00:56.917298,lamudi,14400000.0,32142.85714285714,25012,25,012,Mazatlán
departamento en venta en reforma,2.0,2.0,122.0,23.2134566,-106.4207579,2024-09-02 13:00:56.917298,lamudi,6190000.0,50737.70491803279,25012,25,012,Mazatlán
departamento en venta en ferrocarrilera,2.0,2.0,101.0,23.2161925,-106.4177672,2024-09-02 13:00:56.917298,lamudi,3000000.0,29702.970297029704,25012,25,012,Mazatlán
casa en venta en real del valle,4.0,4.0,233.0,23.2986179,-106.4298458,2024-09-02 13:00:56.917298,lamudi,5500000.0,23605.150214592275,25012,25,012,Mazatlán
casa en venta en real del valle,4.0,3.0,195.0,23.282649,-106.4285517,2024-09-02 13:00:56.917298,lamudi,4200000.0,21538.46153846154,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,3.0,3.0,235.0,23.3056571,-106.4744846,2024-09-02 13:00:56.917298,lamudi,6800000.0,28936.17021276596,25012,25,012,Mazatlán
casa en venta en marina mazatlan,5.0,6.0,750.0,23.28136885,-106.46039945,2024-09-02 13:00:56.917298,lamudi,19500000.0,26000.0,25012,25,012,Mazatlán
casa en venta en villa marina,5.0,6.0,710.0,23.2795883,-106.4591047,2024-09-02 13:00:56.917298,lamudi,18500000.0,26056.33802816901,25012,25,012,Mazatlán
casa en venta en sabalo cerritos,3.0,4.0,140.0,23.2876641,-106.4677728,2024-09-02 13:00:56.917298,lamudi,6300000.0,45000.0,25012,25,012,Mazatlán
casa en venta en plaza reforma,3.0,3.0,170.0,23.2481415,-106.4348819,2024-09-02 13:00:56.917298,lamudi,3990000.0,23470.58823529412,25012,25,012,Mazatlán
