oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo
casa en renta en sabalo cerritos,3.0,2.0,1.0,23.2973214,-106.4777561,2024-09-04 11:28:07.772966,lamudi,25000.0,25000.0,25012,25,012,Mazatlán,renta
departamento en renta en centro,2.0,1.0,1.0,23.2051184,-106.4199755,2024-09-04 11:28:07.772966,lamudi,13500.0,13500.0,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,4.0,3.0,,23.3056571,-106.4744846,2024-09-04 11:28:07.772966,lamudi,35000.0,,25012,25,012,Mazatlán,renta
casa en renta en real del valle,2.0,1.0,,23.2830326,-106.43058151,2024-09-04 11:28:07.772966,lamudi,10000.0,,25012,25,012,Mazatlán,renta
casa en renta en hacienda los mangos,3.0,2.0,1.0,23.2598254,-106.4259737,2024-09-04 11:28:07.772966,lamudi,14000.0,14000.0,25012,25,012,Mazatlán,renta
departamento en renta en sabalo cerritos,2.0,2.0,75.0,23.2991545,-106.4815048,2024-09-04 11:28:07.772966,lamudi,18000.0,240.0,25012,25,012,Mazatlán,renta
departamento en renta en potrero de carrasco,2.0,1.0,,23.2666666,-106.3205555,2024-09-04 11:28:07.772966,lamudi,13000.0,,25012,25,012,Mazatlán,renta
casa en renta en arboledas invies,3.0,1.0,,23.2634116,-106.3883651,2024-09-04 11:28:07.772966,lamudi,12500.0,,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,85.0,23.26085,-106.46085,2024-09-04 11:28:07.772966,lamudi,11000.0,129.41176470588235,25012,25,012,Mazatlán,renta
departamento en renta en telleria,2.0,2.0,96.0,23.2271,-106.42478,2024-09-04 11:28:07.772966,lamudi,30000.0,312.5,25012,25,012,Mazatlán,renta
casa en fraccionamiento en renta en playas infonavit,5.0,3.0,320.0,23.2516192,-106.4228283,2024-09-04 11:28:07.772966,lamudi,80000.0,250.0,25012,25,012,Mazatlán,renta
departamento en renta en sabalo country club,2.0,2.0,70.0,23.26085,-106.46085,2024-09-04 11:28:07.772966,lamudi,25000.0,357.1428571428572,25012,25,012,Mazatlán,renta
departamento en renta en rincon de las plazas,2.0,2.0,105.0,23.203,-106.4122,2024-09-04 11:28:07.772966,lamudi,35000.0,333.3333333333333,25012,25,012,Mazatlán,renta
casa en fraccionamiento en renta en real del valle,4.0,4.0,190.0,23.2879518,-106.4248962,2024-09-04 11:28:07.772966,lamudi,23000.0,121.05263157894736,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,3.0,3.0,140.0,23.271233,-106.452509,2024-09-04 11:28:07.772966,lamudi,24000.0,171.42857142857142,25012,25,012,Mazatlán,renta
departamento en renta en marina mazatlan,1.0,1.0,75.0,23.272606,-106.446753,2024-09-04 11:28:07.772966,lamudi,13500.0,180.0,25012,25,012,Mazatlán,renta
departamento en renta en las gaviotas,2.0,2.0,75.0,23.248207,-106.453555,2024-09-04 11:28:07.772966,lamudi,15000.0,200.0,25012,25,012,Mazatlán,renta
departamento en renta en cerritos resort,2.0,2.0,90.0,23.276905,-106.4674987,2024-09-04 11:28:07.772966,lamudi,40000.0,444.44444444444446,25012,25,012,Mazatlán,renta
casa en condominio en renta en marina mazatlan,,,,23.26967,-106.45232,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
loft en renta en las gaviotas,1.0,1.0,68.0,23.247252,-106.45163,2024-09-04 11:28:07.772966,lamudi,17000.0,250.0,25012,25,012,Mazatlán,renta
casa en renta en real del valle,3.0,2.0,,23.2877702,-106.4297301,2024-09-04 11:28:07.772966,lamudi,17000.0,,25012,25,012,Mazatlán,renta
departamento en renta en ferrocarrilera,3.0,3.0,240.0,23.2200624,-106.4207834,2024-09-04 11:28:07.772966,lamudi,29000.0,120.83333333333331,25012,25,012,Mazatlán,renta
casa en renta en sabalo cerritos,3.0,2.0,,23.287472,-106.468857,2024-09-04 11:28:07.772966,lamudi,22000.0,,25012,25,012,Mazatlán,renta
casa en fraccionamiento en renta en puerta del sol,3.0,2.0,85.0,23.27462838,-106.39683542,2024-09-04 11:28:07.772966,lamudi,9500.0,111.76470588235294,25012,25,012,Mazatlán,renta
departamento en renta en villas de rueda,2.0,2.0,,23.2859232,-106.4723657,2024-09-04 11:28:07.772966,lamudi,49000.0,,25012,25,012,Mazatlán,renta
condominio horizontal en renta en zona dorada,2.0,2.0,,23.2454638,-106.4543865,2024-09-04 11:28:07.772966,lamudi,45000.0,,25012,25,012,Mazatlán,renta
