oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
departamento en azul marino vacacional mensual,2500.0,,2.0,,23.2990776,-106.4836574,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta en almar residencial,22000.0,163.0,4.0,3.0,23.2961316461,-106.4757102429,easybroker,2024-09-04 11:20:59.743440,mazatlan,134.96932515337423
condominio en renta en torre azul,60000.0,283.0,4.0,5.0,23.2176843255,-106.4215564728,easybroker,2024-09-04 11:20:59.743440,mazatlan,212.01413427561837
casa en renta en coto diamante,20000.0,110.87,2.0,3.0,23.2904308999,-106.4683770938,easybroker,2024-09-04 11:20:59.743440,mazatlan,180.39144944529627
departamento en renta en pacifika marina condos,29000.0,,2.0,3.0,23.2737581,-106.3982246,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta en montecarlo residencial,17000.0,,2.0,3.0,23.2676367,-106.420815,easybroker,2024-09-04 11:20:59.743440,mazatlan,
condominio en renta frente al mar,33697.116500000004,94.0,2.0,2.0,23.2054322,-106.4281463,easybroker,2024-09-04 11:20:59.743440,mazatlan,358.4799627659575
casa en renta en el centro,25000.0,,2.0,3.0,23.2015071,-106.4230347,easybroker,2024-09-04 11:20:59.743440,mazatlan,
condominio en renta en portofino,23000.0,110.0,3.0,3.0,23.2713048,-106.4530686,easybroker,2024-09-04 11:20:59.743440,mazatlan,209.0909090909091
condominio en renta en camino al mar,120750.0,416.96,3.0,3.0,23.2456442083,-106.4536249629,easybroker,2024-09-04 11:20:59.743440,mazatlan,289.5961243284728
azul pacific  renta,26000.0,,3.0,3.0,23.3075767457,-106.4755439758,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta el almar residencial,19000.0,150.0,4.0,3.0,23.2973214,-106.4777561,easybroker,2024-09-04 11:20:59.743440,mazatlan,126.66666666666667
vive a solo unas cuadras de la playa mazatlan,13800.0,72.0,2.0,2.0,23.2917795,-106.4674895,easybroker,2024-09-04 11:20:59.743440,mazatlan,191.66666666666666
departamento en renta en azul pacifico,11000.0,64.0,2.0,2.0,23.307931464,-106.4731889963,easybroker,2024-09-04 11:20:59.743440,mazatlan,171.875
departamento en renta en el encanto marina mazatlan frente al centro de convenci,28000.0,131.6,3.0,3.0,23.2920553,-106.4590842,easybroker,2024-09-04 11:20:59.743440,mazatlan,212.76595744680853
casa en renta en casas el deldfin,29750.25,,,2.0,23.3385519097,-106.4875604475,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta en lomas de mazatlan,22000.0,166.9,2.0,3.0,23.2410283,-106.4459187,easybroker,2024-09-04 11:20:59.743440,mazatlan,131.81545835829837
departamento en renta  palmilla gran residencial,18500.0,77.0,,2.0,23.2872576908,-106.4665210256,easybroker,2024-09-04 11:20:59.743440,mazatlan,240.25974025974025
departamento en renta portofino,25000.0,128.0,2.0,2.0,23.2711638229,-106.4530134091,easybroker,2024-09-04 11:20:59.743440,mazatlan,195.3125
departamento en renta en el centro,11000.0,78.03,,2.0,23.1961098,-106.4233907,easybroker,2024-09-04 11:20:59.743440,mazatlan,140.97142124823785
departamento en renta en sabalo country,13000.0,,2.0,2.0,23.2635796,-106.462567,easybroker,2024-09-04 11:20:59.743440,mazatlan,
condominio en renta en las gavias club residencial,24000.0,130.0,2.0,2.0,23.2319083,-106.4342137,easybroker,2024-09-04 11:20:59.743440,mazatlan,184.6153846153846
departamento en boca de cielo,35000.0,118.0,2.0,2.0,23.2251826,-106.4330533,easybroker,2024-09-04 11:20:59.743440,mazatlan,296.6101694915254
renta departamento amuebladofracc turquesamazatlan,20000.0,,2.0,2.0,23.2756361,-106.4368092,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en el fraccionamiento playa sur,15000.0,150.0,2.0,2.0,23.1899005,-106.4211255,easybroker,2024-09-04 11:20:59.743440,mazatlan,100.0
departamento en torre milan,16000.0,55.76,2.0,2.0,23.247182029,-106.4528471231,easybroker,2024-09-04 11:20:59.743440,mazatlan,286.94404591104734
depto. gaviotas blues en renta,15000.0,75.0,2.0,2.0,23.248207233,-106.4535552253,easybroker,2024-09-04 11:20:59.743440,mazatlan,200.0
en renta en sabalo country sin amueblar con 2 recamaras 2 banos,15000.0,,2.0,2.0,23.2592178213,-106.4587111637,easybroker,2024-09-04 11:20:59.743440,mazatlan,
casa en renta en coto 11 fraccionamiento real del valle,17000.0,120.0,2.0,2.0,23.2859781,-106.4318513,easybroker,2024-09-04 11:20:59.743440,mazatlan,141.66666666666666
renta  real del valle coto iv,16000.0,167.0,2.0,3.0,23.2783289388,-106.4276182277,easybroker,2024-09-04 11:20:59.743440,mazatlan,95.80838323353294
