oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en venta en el cid,5,6,995.0,23.26094646,-106.4547592,2024-09-02 13:00:56.917298,lamudi,24500000.0,24623.115577889446
casa en fraccionamiento en venta en villa marina,4,3,270.0,23.29016368,-106.46693848,2024-09-02 13:00:56.917298,lamudi,7950000.0,29444.444444444445
casa en venta en balcones de loma linda,4,5,510.0,23.2028407,-106.4288318,2024-09-02 13:00:56.917298,lamudi,27980000.0,54862.74509803922
departamento en venta en el cid,3,3,163.0,23.25995117,-106.44616744,2024-09-02 13:00:56.917298,lamudi,6500000.0,39877.30061349693
casa en venta en real del valle,2,1,60.0,23.2876619,-106.3990281,2024-09-02 13:00:56.917298,lamudi,1350000.0,22500.0
casa en venta en lomas de mazatlan,3,4,402.0,23.245777,-106.4490648,2024-09-02 13:00:56.917298,lamudi,7450000.0,18532.33830845771
departamento en venta en marina mazatlan,2,2,101.0,23.2694461,-106.452461,2024-09-02 13:00:56.917298,lamudi,4450000.0,44059.40594059406
departamento en venta en marina mazatlan,3,2,118.0,23.2713048,-106.4530686,2024-09-02 13:00:56.917298,lamudi,5404853.999999999,45803.84745762711
casa en venta en sabalo cerritos,4,4,240.0,23.2989814,-106.4783346,2024-09-02 13:00:56.917298,lamudi,6690000.0,27875.0
casa en venta en club real,4,4,550.0,23.2693983,-106.4472128,2024-09-02 13:00:56.917298,lamudi,14000000.0,25454.545454545456
casa en venta en sabalo cerritos,4,4,162.0,23.2973214,-106.4777561,2024-09-02 13:00:56.917298,lamudi,4700000.0,29012.345679012345
casa en venta en marina mazatlan,5,6,710.0,23.27869805423322,-106.45807397036131,2024-09-02 13:00:56.917298,lamudi,18500000.0,26056.338028169015
casa en venta en real del valle,3,2,131.0,23.2760298,-106.4253867,2024-09-02 13:00:56.917298,lamudi,3990000.0,30458.01526717557
casa en venta en sabalo cerritos,3,4,228.0,23.3054792,-106.4780693,2024-09-02 13:00:56.917298,lamudi,5800000.0,25438.59649122807
departamento en venta en las gaviotas,2,2,80.0,23.247252,-106.45163,2024-09-02 13:00:56.917298,lamudi,3300000.0,41250.0
