oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2
casa en renta en sabalo cerritos,3,2,1.0,23.2973214,-106.4777561,2024-09-04 11:28:07.772966,lamudi,25000.0,25000.0
departamento en renta en centro,2,1,1.0,23.2051184,-106.4199755,2024-09-04 11:28:07.772966,lamudi,13500.0,13500.0
casa en renta en sabalo cerritos,4,3,,23.3056571,-106.4744846,2024-09-04 11:28:07.772966,lamudi,35000.0,
casa en renta en real del valle,2,1,,23.2830326,-106.43058151,2024-09-04 11:28:07.772966,lamudi,10000.0,
casa en renta en hacienda los mangos,3,2,1.0,23.2598254,-106.4259737,2024-09-04 11:28:07.772966,lamudi,14000.0,14000.0
departamento en renta en sabalo cerritos,2,2,75.0,23.2991545,-106.4815048,2024-09-04 11:28:07.772966,lamudi,18000.0,240.0
departamento en renta en potrero de carrasco,2,1,,23.2666666,-106.3205555,2024-09-04 11:28:07.772966,lamudi,13000.0,
casa en renta en arboledas invies,3,1,,23.2634116,-106.3883651,2024-09-04 11:28:07.772966,lamudi,12500.0,
departamento en renta en sabalo country club,2,2,85.0,23.26085,-106.46085,2024-09-04 11:28:07.772966,lamudi,11000.0,129.41176470588235
departamento en renta en telleria,2,2,96.0,23.2271,-106.42478,2024-09-04 11:28:07.772966,lamudi,30000.0,312.5
casa en fraccionamiento en renta en playas infonavit,5,3,320.0,23.2516192,-106.4228283,2024-09-04 11:28:07.772966,lamudi,80000.0,250.0
departamento en renta en sabalo country club,2,2,70.0,23.26085,-106.46085,2024-09-04 11:28:07.772966,lamudi,25000.0,357.14285714285717
departamento en renta en rincon de las plazas,2,2,105.0,23.203,-106.4122,2024-09-04 11:28:07.772966,lamudi,35000.0,333.3333333333333
casa en fraccionamiento en renta en real del valle,4,4,190.0,23.2879518,-106.4248962,2024-09-04 11:28:07.772966,lamudi,23000.0,121.05263157894737
departamento en renta en marina mazatlan,3,3,140.0,23.271233,-106.452509,2024-09-04 11:28:07.772966,lamudi,24000.0,171.42857142857142
departamento en renta en marina mazatlan,1,1,75.0,23.272606,-106.446753,2024-09-04 11:28:07.772966,lamudi,13500.0,180.0
departamento en renta en las gaviotas,2,2,75.0,23.248207,-106.453555,2024-09-04 11:28:07.772966,lamudi,15000.0,200.0
departamento en renta en cerritos resort,2,2,90.0,23.276905,-106.4674987,2024-09-04 11:28:07.772966,lamudi,40000.0,444.44444444444446
casa en condominio en renta en marina mazatlan,,,,23.26967,-106.45232,2024-09-04 11:28:07.772966,lamudi,22000.0,
loft en renta en las gaviotas,1,1,68.0,23.247252,-106.45163,2024-09-04 11:28:07.772966,lamudi,17000.0,250.0
casa en renta en real del valle,3,2,,23.2877702,-106.4297301,2024-09-04 11:28:07.772966,lamudi,17000.0,
departamento en renta en ferrocarrilera,3,3,240.0,23.2200624,-106.4207834,2024-09-04 11:28:07.772966,lamudi,29000.0,120.83333333333333
casa en renta en sabalo cerritos,3,2,,23.287472,-106.468857,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en fraccionamiento en renta en puerta del sol,3,2,85.0,23.27462838,-106.39683542,2024-09-04 11:28:07.772966,lamudi,9500.0,111.76470588235294
departamento en renta en villas de rueda,2,2,,23.2859232,-106.4723657,2024-09-04 11:28:07.772966,lamudi,49000.0,
condominio horizontal en renta en zona dorada,2,2,,23.2454638,-106.4543865,2024-09-04 11:28:07.772966,lamudi,45000.0,
casa en renta en sabalo cerritos,3,3,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,25000.0,
casa en renta en el encanto,3,3,,23.258961,-106.457725,2024-09-04 11:28:07.772966,lamudi,25000.0,
casa en renta en marina garden,3,2,,23.281447,-106.468258,2024-09-04 11:28:07.772966,lamudi,23000.0,
departamento en renta en flamingos,2,1,,23.236145,-106.437274,2024-09-04 11:28:07.772966,lamudi,16000.0,
departamento en renta en ciudad de mazatlan,2,2,,23.255015,-106.457761,2024-09-04 11:28:07.772966,lamudi,50000.0,
departamento en renta en sabalo country club,2,2,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,16000.0,
departamento en renta en alameda,2,3,,23.241446,-106.438379,2024-09-04 11:28:07.772966,lamudi,18000.0,
departamento en renta en real del valle,2,2,,23.275636,-106.436809,2024-09-04 11:28:07.772966,lamudi,20000.0,
casa en renta en real del valle,3,3,260.0,23.2863833,-106.4302811,2024-09-04 11:28:07.772966,lamudi,18000.0,69.23076923076923
casa en renta en sabalo cerritos,3,3,,23.303516,-106.478561,2024-09-04 11:28:07.772966,lamudi,23000.0,
casa en renta en sabalo cerritos,3,3,,23.303516,-106.478561,2024-09-04 11:28:07.772966,lamudi,35000.0,
casa en renta en sabalo cerritos,3,3,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,22000.0,
casa en renta en cerritos resort,3,3,,23.307572,-106.477456,2024-09-04 11:28:07.772966,lamudi,22000.0,
departamento en renta en villas de rueda,1,1,,23.287421,-106.473854,2024-09-04 11:28:07.772966,lamudi,16000.0,
departamento en renta en marina mazatlan,2,2,154.0,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,26000.0,168.83116883116884
departamento en renta en sabalo cerritos,3,2,,23.295924,-106.467888,2024-09-04 11:28:07.772966,lamudi,27000.0,
casa en renta en sabalo cerritos,3,3,,23.287671,-106.467829,2024-09-04 11:28:07.772966,lamudi,30000.0,
departamento en renta en sabalo country club,2,2,,23.265414,-106.463563,2024-09-04 11:28:07.772966,lamudi,17500.0,
casa en renta en el encanto,3,2,,23.258956,-106.457704,2024-09-04 11:28:07.772966,lamudi,25000.0,
departamento en renta en sabalo cerritos,2,1,65.0,23.303516,-106.47856,2024-09-04 11:28:07.772966,lamudi,18000.0,276.9230769230769
departamento en renta en marina mazatlan,3,3,,23.270913,-106.456722,2024-09-04 11:28:07.772966,lamudi,32000.0,
casa en renta en el cid,3,3,,23.252899,-106.456136,2024-09-04 11:28:07.772966,lamudi,50000.0,
casa en renta en el cid,4,4,,23.255278,-106.450894,2024-09-04 11:28:07.772966,lamudi,42000.0,
departamento en renta en sabalo country club,3,3,,23.262684,-106.462673,2024-09-04 11:28:07.772966,lamudi,23000.0,
