oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,municipio,precio_m2
casa en venta soles residencial 1871 mazatlan sinaloa,7200000.0,236.0,4.0,4.0,23.2626504,-106.4627078,easybroker,2024-09-02 12:27:21.140990,mazatlan,30508.474576271186
departamento en venta en torre isla balboa,3820000.0,87.48,2.0,2.0,23.251008,-106.4520348,easybroker,2024-09-02 12:27:21.140990,mazatlan,43667.12391403749
casa en venta jacarandas mazatlan sinaloa,3400000.0,149.0,2.0,3.0,23.2433991,-106.4180536,easybroker,2024-09-02 12:27:21.140990,mazatlan,22818.791946308724
nautilus marina gran vida,4319000.0,,2.0,2.0,23.2747317,-106.4592768,easybroker,2024-09-02 12:27:21.140990,mazatlan,
mangle marina golf residences,2890000.0,,2.0,2.0,23.2786341,-106.4536404,easybroker,2024-09-02 12:27:21.140990,mazatlan,
torre playa azul,2800000.0,,2.0,2.0,23.2028359,-106.4165282,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta en mediterraneo,5800000.0,169.5,3.0,3.0,23.2693327,-106.4445612,easybroker,2024-09-02 12:27:21.140990,mazatlan,34218.28908554572
condominio en venta en las gavias grand,14848499.999999998,160.71,3.0,3.0,23.2828623755,-106.4709091479,easybroker,2024-09-02 12:27:21.140990,mazatlan,92393.13048347954
cristal bay ... uno de los penthouses mas lujososos de mazatlan,24900000.0,450.0,,3.0,23.2273616,-106.4288318,easybroker,2024-09-02 12:27:21.140990,mazatlan,55333.333333333336
cristal bay ... uno de los  departamentos mas lujososos de mazatlan,8170000.0,125.0,,2.0,23.231974,-106.4347995,easybroker,2024-09-02 12:27:21.140990,mazatlan,65360.0
mazatlan cerritos tiara sands,11661021.999999998,162.0,3.0,3.0,23.2991545,-106.4815048,easybroker,2024-09-02 12:27:21.140990,mazatlan,71981.6172839506
hermosos departamentos frente al mar en magenta residence,1841959.39,33.1,,0.0,23.2191035,-106.4212392,easybroker,2024-09-02 12:27:21.140990,mazatlan,55648.319939577035
hermosos departamentos en venta en mare golden zone condos,3759200.0,76.37,2.0,2.0,23.2444615,-106.4534697,easybroker,2024-09-02 12:27:21.140990,mazatlan,49223.51708786172
mazatlan marina pacifika,4900000.0,134.0,3.0,3.0,23.2747317,-106.4592768,easybroker,2024-09-02 12:27:21.140990,mazatlan,36567.164179104475
departamento en venta en zona dorada mazatlan,3871940.0,83.5,2.0,2.0,23.2588099,-106.4593312,easybroker,2024-09-02 12:27:21.140990,mazatlan,46370.53892215569
departamento en venta en zona dorada mazatlan,2113380.0,43.1,,,23.2588099,-106.4593312,easybroker,2024-09-02 12:27:21.140990,mazatlan,49034.33874709977
departamento en venta en el encato playa azul en playa sur mazatlan,3700000.0,92.89,2.0,2.0,23.1910197,-106.4231674,easybroker,2024-09-02 12:27:21.140990,mazatlan,39832.05942512649
hermosa casa en fraccionamiento en rincon del real,1450000.0,75.0,2.0,3.0,23.2420378,-106.3785771,easybroker,2024-09-02 12:27:21.140990,mazatlan,19333.333333333332
departamento en torres navia,3500.0,,2.0,2.0,23.2708473,-106.4576718,easybroker,2024-09-02 12:27:21.140990,mazatlan,
departamento en venta en torre flamingo 407 modelo b nivel 1,2850000.0,78.63,,2.0,23.2171269,-106.4182555,easybroker,2024-09-02 12:27:21.140990,mazatlan,36245.70774513545
preventa departamentosfrente a frogs z doradamazatlan,3300000.0,,,,23.2281826,-106.4300533,easybroker,2024-09-02 12:27:21.140990,mazatlan,
centro logistico mcl mazatlan,5100000.0,,,,23.3498787,-106.4170222,easybroker,2024-09-02 12:27:21.140990,mazatlan,
meraki,2674000.0,,2.0,2.0,23.2812822,-106.4306302,easybroker,2024-09-02 12:27:21.140990,mazatlan,
boca de mar,6650000.0,,4.0,3.0,23.206339,-106.4284836,easybroker,2024-09-02 12:27:21.140990,mazatlan,
torre tiburon,2000000.0,87.81,2.0,2.0,23.259742,-106.4591467,easybroker,2024-09-02 12:27:21.140990,mazatlan,22776.449151577268
condos maraka living,3350379.0,,2.0,2.0,23.2611037,-106.4583686,easybroker,2024-09-02 12:27:21.140990,mazatlan,
torre katara,2389000.0,,2.0,2.0,23.2853278,-106.4291442,easybroker,2024-09-02 12:27:21.140990,mazatlan,
sunset sabalo condos,1049950.0,,2.0,2.0,23.2635796,-106.462567,easybroker,2024-09-02 12:27:21.140990,mazatlan,
casa en venta col. universo,1250000.0,182.0,2.0,3.0,23.2600222,-106.3747007,easybroker,2024-09-02 12:27:21.140990,mazatlan,6868.131868131868
departamentos en venta en los fresnos condominios,2126000.0,66.65,,2.0,23.2555719,-106.4140354,easybroker,2024-09-02 12:27:21.140990,mazatlan,31897.974493623402
departamento en venta en torre ananta,4800000.0,109.0,2.0,2.0,23.2026541,-106.4273975,easybroker,2024-09-02 12:27:21.140990,mazatlan,44036.69724770642
condominio en venta en boca del cielo,5600000.0,94.0,2.0,2.0,23.206339,-106.4284836,easybroker,2024-09-02 12:27:21.140990,mazatlan,59574.46808510638
condominio en venta en the one tower do9,5900000.0,102.6,2.0,2.0,23.2324714,-106.4350528,easybroker,2024-09-02 12:27:21.140990,mazatlan,57504.87329434698
condominio en venta en las gavias grand,10500000.0,135.14,2.0,2.0,23.2769245276,-106.4675617236,easybroker,2024-09-02 12:27:21.140990,mazatlan,77697.20290069559
condominio en venta en vistas de la marina,5500000.0,155.15,2.0,3.0,23.2673804,-106.453298,easybroker,2024-09-02 12:27:21.140990,mazatlan,35449.564937157586
condominio en preventa en panoramic sunset,3333237.6,74.0,2.0,2.0,23.2016858,-106.4284408,easybroker,2024-09-02 12:27:21.140990,mazatlan,45043.751351351355
condominio en venta en the one tower do11,5900000.0,102.6,2.0,,23.2324714,-106.4350528,easybroker,2024-09-02 12:27:21.140990,mazatlan,57504.87329434698
condominio en venta en el delfin condominios,3650000.0,82.59,,,23.3268642,-106.4807815,easybroker,2024-09-02 12:27:21.140990,mazatlan,44194.212374379465
casa en venta en quintas del mar,6300000.0,200.0,2.0,3.0,23.2957825,-106.4807122,easybroker,2024-09-02 12:27:21.140990,mazatlan,31500.0
casa en venta  en lazaro cardenas,1850000.0,150.0,2.0,3.0,23.1959652,-106.4178313,easybroker,2024-09-02 12:27:21.140990,mazatlan,12333.333333333334
casa en venta en paraiso marina,11500000000.0,350.0,,4.0,23.2777811,-106.4522242,easybroker,2024-09-02 12:27:21.140990,mazatlan,32857142.85714286
